Make,Type,Model,Origin,Drive Train,MSRP,Engine Size,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Hyundai,Sedan,Elantra GLS 4dr,Asia,Front,$13839,2.0,4.0,138,26,34,2635.0,103.0,178.0
Hyundai,Sedan,Elantra GT 4dr,Asia,Front,$15389,2.0,4.0,138,26,34,,103.0,
Hyundai,Sedan,Elantra GT 4dr hatch,Asia,Front,$15389,2.0,4.0,138,26,34,2698.0,103.0,178.0
Hyundai,Sedan,Sonata GLS 4dr,Asia,Front,$19339,2.7,6.0,170,19,27,3217.0,106.0,187.0
Hyundai,Sedan,Sonata LX 4dr,Asia,Front,$20339,2.7,6.0,170,19,27,3217.0,106.0,187.0
Hyundai,Sedan,XG350 4dr,Asia,Front,$24589,3.5,6.0,194,17,26,3651.0,108.0,192.0
Hyundai,Sedan,XG350 L 4dr,Asia,Front,$26189,3.5,6.0,194,17,26,3651.0,108.0,192.0
Hyundai,Sports,Tiburon GT V6 2dr,Asia,Front,$18739,2.7,6.0,172,19,26,3023.0,100.0,173.0
Infiniti,Sedan,G35 4dr,Asia,Rear,$28495,3.5,6.0,260,18,26,3336.0,112.0,187.0
Infiniti,Sedan,G35 Sport Coupe 2dr,Asia,Rear,$29795,3.5,6.0,280,18,26,3416.0,112.0,182.0
Infiniti,Sedan,G35 4dr,Asia,All,$32445,3.5,6.0,260,18,26,3677.0,112.0,187.0
Infiniti,Sedan,I35 4dr,Asia,Front,$31145,3.5,6.0,255,19,26,3306.0,108.0,194.0
Infiniti,Sedan,M45 4dr,Asia,Rear,$42845,4.5,8.0,340,17,23,3851.0,110.0,197.0
Infiniti,Sedan,Q45 Luxury 4dr,Asia,Rear,$52545,4.5,8.0,340,17,23,3977.0,113.0,200.0
Infiniti,Wagon,FX35,Asia,Rear,$34895,3.5,6.0,280,16,22,4056.0,112.0,189.0
Infiniti,Wagon,FX45,Asia,All,$36395,4.5,8.0,315,15,19,4309.0,112.0,189.0
Isuzu,SUV,Ascender S,Asia,All,$31849,4.2,6.0,275,15,20,4967.0,129.0,208.0
Isuzu,SUV,Rodeo S,Asia,Front,$20449,3.2,6.0,193,17,21,3836.0,106.0,178.0
Jaguar,Sedan,X-Type 2.5 4dr,Europe,All,$29995,2.5,6.0,192,18,26,3428.0,107.0,184.0
Jaguar,Sedan,X-Type 3.0 4dr,Europe,All,$33995,3.0,6.0,227,18,25,3516.0,107.0,184.0
Jaguar,Sedan,S-Type 3.0 4dr,Europe,Rear,$43895,3.0,6.0,235,18,26,3777.0,115.0,192.0
Jaguar,Sedan,S-Type 4.2 4dr,Europe,Rear,$49995,4.2,8.0,294,18,28,3874.0,115.0,192.0
Jaguar,Sedan,S-Type R 4dr,Europe,Rear,$63120,4.2,8.0,390,17,24,4046.0,,192.0
Jaguar,Sedan,Vanden Plas 4dr,Europe,Rear,$68995,4.2,8.0,294,18,28,3803.0,119.0,200.0
Jaguar,Sedan,XJ8 4dr,Europe,Rear,$59995,4.2,8.0,294,18,28,3803.0,119.0,200.0
Jaguar,Sedan,XJR 4dr,Europe,Rear,$74995,4.2,8.0,390,17,24,3948.0,119.0,200.0
Jaguar,Sports,XK8 coupe 2dr,Europe,Rear,$69995,4.2,8.0,294,18,26,3779.0,102.0,187.0
Jaguar,Sports,XK8 convertible 2dr,Europe,Rear,$74995,4.2,8.0,294,18,26,3980.0,102.0,187.0
Jaguar,Sports,XKR coupe 2dr,Europe,Rear,$81995,4.2,8.0,390,16,23,3865.0,102.0,187.0
Jaguar,Sports,XKR convertible 2dr,Europe,Rear,$86995,4.2,8.0,390,16,23,4042.0,102.0,187.0
Jeep,SUV,Grand Cherokee Laredo,USA,Front,$27905,4.0,6.0,195,16,21,3790.0,106.0,181.0
Jeep,SUV,Liberty Sport,USA,All,$20130,2.4,4.0,150,20,24,3826.0,104.0,174.0
Jeep,SUV,Wrangler Sahara convertible 2dr,USA,All,$25520,4.0,6.0,190,16,19,3575.0,93.0,150.0
Kia,SUV,Sorento LX,Asia,Front,$19635,3.5,6.0,192,16,19,4112.0,107.0,180.0
Kia,Sedan,Optima LX 4dr,Asia,Front,$16040,2.4,4.0,138,23,30,3281.0,106.0,186.0
Kia,Sedan,Rio 4dr manual,Asia,Front,$10280,1.6,4.0,104,26,33,2403.0,95.0,167.0
Kia,Sedan,Rio 4dr auto,Asia,Front,$11155,1.6,4.0,104,25,32,2458.0,95.0,167.0
Kia,Sedan,Spectra 4dr,Asia,Front,$12360,1.8,4.0,124,24,32,2661.0,101.0,178.0
Kia,Sedan,Spectra GS 4dr hatch,Asia,Front,$13580,1.8,4.0,124,24,32,2686.0,101.0,178.0
Kia,Sedan,Spectra GSX 4dr hatch,Asia,Front,$14630,1.8,4.0,124,24,32,2697.0,101.0,178.0
Kia,Sedan,Optima LX V6 4dr,Asia,Front,$18435,2.7,6.0,170,20,27,3279.0,106.0,186.0
Kia,Sedan,Amanti 4dr,Asia,Front,$26000,3.5,6.0,195,17,25,4021.0,110.0,196.0
Kia,Sedan,Sedona LX,Asia,Front,$20615,3.5,6.0,195,16,22,4802.0,115.0,194.0
Kia,Wagon,Rio Cinco,Asia,Front,$11905,1.6,4.0,104,26,33,2447.0,95.0,167.0
Land Rover,SUV,Range Rover HSE,Europe,All,$72250,4.4,8.0,282,12,16,5379.0,113.0,195.0
Land Rover,SUV,Discovery SE,Europe,All,$39250,4.6,8.0,217,12,16,4576.0,100.0,185.0
Land Rover,SUV,Freelander SE,Europe,All,$25995,2.5,6.0,174,18,21,3577.0,101.0,175.0
Lexus,SUV,GX 470,Asia,All,$45700,4.7,8.0,235,15,19,4740.0,110.0,188.0
Lexus,SUV,LX 470,Asia,All,$64800,4.7,8.0,235,13,17,5590.0,112.0,193.0
Lexus,SUV,RX 330,Asia,All,$39195,3.3,6.0,230,18,24,4065.0,107.0,186.0
Lexus,Sedan,ES 330 4dr,Asia,Front,$32350,3.3,6.0,225,20,29,3460.0,107.0,191.0
Lexus,Sedan,IS 300 4dr manual,Asia,Rear,$31045,3.0,6.0,215,18,25,3255.0,105.0,177.0
Lexus,Sedan,IS 300 4dr auto,Asia,Rear,$32415,3.0,6.0,215,18,24,3285.0,105.0,177.0
Lexus,Sedan,GS 300 4dr,Asia,Rear,$41010,3.0,6.0,220,18,25,3649.0,,189.0
Lexus,Sedan,GS 430 4dr,Asia,Rear,$48450,4.3,8.0,300,18,23,3715.0,110.0,189.0
Lexus,Sedan,LS 430 4dr,Asia,Rear,$55750,4.3,8.0,290,18,25,3990.0,115.0,197.0
Lexus,Sports,SC 430 convertible 2dr,Asia,Rear,$63200,4.3,8.0,300,18,23,3840.0,103.0,178.0
Lexus,Wagon,IS 300 SportCross,Asia,Rear,$32455,3.0,6.0,215,18,24,3410.0,105.0,177.0
Lincoln,SUV,Navigator Luxury,USA,All,$52775,5.4,8.0,300,13,18,5969.0,119.0,206.0
Lincoln,SUV,Aviator Ultimate,USA,Front,$42915,4.6,8.0,302,13,18,4834.0,114.0,193.0
Lincoln,Sedan,LS V6 Luxury 4dr,USA,Rear,$32495,3.0,6.0,232,20,26,3681.0,115.0,194.0
Lincoln,Sedan,LS V6 Premium 4dr,USA,Rear,$36895,3.0,6.0,232,20,26,3681.0,115.0,194.0
Lincoln,Sedan,LS V8 Sport 4dr,USA,Rear,$40095,3.9,8.0,280,17,24,3768.0,115.0,194.0
Lincoln,Sedan,LS V8 Ultimate 4dr,USA,Rear,$43495,3.9,8.0,280,17,24,3768.0,115.0,194.0
Lincoln,Sedan,Town Car Signature 4dr,USA,Rear,$41815,4.6,8.0,239,17,25,4369.0,118.0,215.0
Lincoln,Sedan,Town Car Ultimate 4dr,USA,Rear,$44925,4.6,8.0,239,17,25,4369.0,118.0,215.0
Lincoln,Sedan,Town Car Ultimate L 4dr,USA,Rear,$50470,4.6,8.0,239,17,25,4474.0,124.0,221.0
MINI,Sedan,Cooper,Europe,Front,$16999,1.6,4.0,115,28,37,2524.0,,143.0
